#Classification	flub_count	flub_perc
x__Viruses	30711	30.62
x__Viruses|x__Riboviria	30711	30.62
x__Viruses|x__Riboviria|k__Orthornavirae	30711	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota	30711	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina	30711	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes	30711	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales	30711	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae	30711	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Betainfluenzavirus	30711	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Betainfluenzavirus|s__Betainfluenzavirus_influenzae	30711	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Betainfluenzavirus|s__Betainfluenzavirus_influenzae|x__Influenza_B_virus	30711	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Betainfluenzavirus|s__Betainfluenzavirus_influenzae|x__Influenza_B_virus|x__Influenza_B_virus_(B/Lee/1940)	30711	30.62
x__cellular_organisms	239	0.24
x__cellular_organisms|x__Bacteria	178	0.18
x__cellular_organisms|x__Bacteria|k__Bacillati	177	0.18
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Actinomycetota	176	0.18
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Actinomycetota|c__Actinomycetes	176	0.18
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	161	0.16
