#Classification	flub_perc
x__Viruses	30.62
x__Viruses|x__Riboviria	30.62
x__Viruses|x__Riboviria|k__Orthornavirae	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Betainfluenzavirus	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Betainfluenzavirus|s__Betainfluenzavirus_influenzae	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Betainfluenzavirus|s__Betainfluenzavirus_influenzae|x__Influenza_B_virus	30.62
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Betainfluenzavirus|s__Betainfluenzavirus_influenzae|x__Influenza_B_virus|x__Influenza_B_virus_(B/Lee/1940)	30.62
x__cellular_organisms	0.24
x__cellular_organisms|x__Bacteria	0.18
x__cellular_organisms|x__Bacteria|k__Bacillati	0.18
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Actinomycetota	0.18
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Actinomycetota|c__Actinomycetes	0.18
