.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
flua_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
flua_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
flub_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
flub_2	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
measle_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
measle_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
sample1_1	1	1	1	1	0.25	1	1	1	1	1	1
sample1_2	1	1	1	1	0.25	1	1	1	1	0.5	1
sample2_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
sample2_2	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
