Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
flua_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
flua_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
flub_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
flub_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
measle_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
measle_2	(1, 0.7785242840760984)	(2, 0.795751352498882)	(3, 0.7806124135818904)	(4, 0.7757401114017092)	(5, 0.7971434388360766)	(6, 0.8277693382543585)	(7, 0.7752180790252612)	(8, 0.7780022516996504)	(9, 0.7752180790252612)	(10, 0.7874336366341441)	(15, 0.7859023416632299)	(20, 0.7792899315615555)	(25, 0.7912966762198591)	(30, 0.781482467542637)	(35, 0.1668113792524969)	(40, 0.0077807690512130216)	(45, 0.005029510025846688)	(50, 0.008371315633090624)	(55, 0.009977324263038548)	(60, 0.005819479738511378)	(65, 0.010480561521081299)	(70, 0.007109054391000984)	(75, 0.007628268770095365)	(80, 0.012597263935723229)	(85, 0.018297876158881746)	(90, 0.01242147078917085)	(95, 0.012310326432845561)	(100, 0.017527753297485196)	(105, 0.02650365600667709)	(110, 0.02342188188256023)	(115, 0.02267305370188346)	(120, 0.01660520099560733)	(125, 0.012723103897855506)	(130, 0.0101496825583446)	(135, 0.0024376969202043355)	(140, 0.0018228243512064459)	(145, 0.015870793993150917)	(150, 0.004627341972140096)
sample1_1	(1, 0.015659831610751854)	(2, 0.020495956078778164)	(3, 0.011975165349398478)	(4, 0.0002302916413345861)	(5, 0.0)	(6, 0.055730577202969846)	(7, 0.001842333130676689)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00036846662613533777)	(25, 0.00018423331306766889)	(30, 0.0017041581458759375)	(35, 0.0010132832218721789)	(40, 0.000414524954402255)	(45, 0.002533208054680447)	(50, 0.0019344497872105233)	(55, 0.003085907993883454)	(60, 0.002625324711214282)	(65, 0.001842333130676689)	(70, 0.0007829915805375928)	(75, 0.0015199248328082685)	(80, 0.0019805081154774407)	(85, 0.003914957902687964)	(90, 0.004237366200556385)	(95, 0.0009211665653383445)	(100, 0.0007369332522706755)	(105, 0.00331619963521804)	(110, 0.0048361244680263085)	(115, 0.0011514582066729305)	(120, 0.004421599513624054)	(125, 0.007691740820575176)	(130, 0.0021186831002781925)	(135, 0.005066416109360894)	(140, 0.00548094106376315)	(145, 0.006079699331233074)	
sample1_2	(1, 0.0013817498480075167)	(2, 0.0)	(3, 0.003454374620018792)	(4, 0.007599624164041341)	(5, 0.012435748632067652)	(6, 0.016350706534755614)	(7, 0.005526999392030067)	(8, 0.009902540577387204)	(9, 0.015199248328082683)	(10, 0.004099191215755633)	(15, 0.01377144015180825)	(20, 0.01810092300889847)	(25, 0.014370198419278172)	(30, 0.017041581458759374)	(35, 0.01326479854087216)	(40, 0.010915823799259382)	(45, 0.012896331914736823)	(50, 0.00930378230991728)	(55, 0.015245306656349602)	(60, 0.014047790121409753)	(65, 0.011790932036330809)	(70, 0.00925772398165036)	(75, 0.01671917316089095)	(80, 0.011698815379796975)	(85, 0.01860756461983456)	(90, 0.01690340647395862)	(95, 0.004467657841890971)	(100, 0.00548094106376315)	(105, 0.002302916413345861)	(110, 0.00248714972641353)	(115, 0.001243574863206765)	(120, 0.002671383039481199)	(125, 0.005066416109360894)	(130, 0.014232023434477423)	(135, 0.012850273586469904)	(140, 0.013955673464875919)	(145, 0.026345363768676654)	
sample2_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	
sample2_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	
