Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
flua_1	(1, 33.536640155424685)	(2, 34.907865001787656)	(3, 35.44465356620053)	(4, 35.796261442670286)	(5, 35.69503302099987)	(6, 35.73625699040063)	(7, 35.72023556553943)	(8, 35.70394430615425)	(9, 35.81966284176229)	(10, 35.76097922948752)	(15, 35.726476838079044)	(20, 35.705405460101595)	(25, 35.64522426621874)	(30, 35.60913929532715)	(35, 35.57298416745931)	(40, 35.5270704740318)	(45, 35.471626225217385)	(50, 35.447012426628945)	(55, 35.408699314320344)	(60, 35.342381663298866)	(65, 35.348924048043145)	(70, 35.30268019327901)	(75, 35.28609146144341)	(80, 35.25519196401909)	(85, 35.2141355392402)	(90, 35.1500981019923)	(95, 35.08823078662303)	(100, 35.09057512620534)	(105, 35.021614213567396)	(110, 34.9396446816173)	(115, 34.945563956955446)	(120, 34.87867010371983)	(125, 34.829895673307504)	(130, 34.72126861454173)	(135, 34.7097850751274)	(140, 34.674412398076655)	(145, 34.609327073704335)	(150, 33.21655009464164)
flua_2	(1, 32.74346831805396)	(2, 35.317109532579146)	(3, 35.38591059033048)	(4, 35.561417710588984)	(5, 35.340247843010275)	(6, 35.76054209755867)	(7, 35.75261570841681)	(8, 35.72008041068815)	(9, 35.828014220279414)	(10, 35.78188600840535)	(15, 35.709041480312194)	(20, 35.67818860084053)	(25, 35.64958344295361)	(30, 35.5792105991001)	(35, 35.52459878979216)	(40, 35.49520031840474)	(45, 35.470414668204725)	(50, 35.4193874717419)	(55, 35.43271772376547)	(60, 35.429417558532016)	(65, 35.374347721456026)	(70, 35.37332382763127)	(75, 35.31828539667086)	(80, 35.263316687292885)	(85, 35.249182469996626)	(90, 35.20689778565602)	(95, 35.17702360645385)	(100, 35.14471622913179)	(105, 35.04950141787092)	(110, 34.9752373350003)	(115, 34.890013390952774)	(120, 34.85210170722996)	(125, 34.821795278424304)	(130, 34.75905365455016)	(135, 34.69556681095414)	(140, 34.55045712676375)	(145, 34.406873828192786)	(150, 32.591158519907886)
flub_1	(1, 33.35692377263522)	(2, 34.915593480269756)	(3, 35.58371836967421)	(4, 35.900346041171034)	(5, 35.871119325219716)	(6, 35.847869684040816)	(7, 35.85819193488134)	(8, 35.81432728416665)	(9, 35.91951593558915)	(10, 35.88110143331826)	(15, 35.840095554550636)	(20, 35.79608344310965)	(25, 35.72157841961424)	(30, 35.67161086097403)	(35, 35.63737637875779)	(40, 35.596702778160086)	(45, 35.57412555789308)	(50, 35.53492583261016)	(55, 35.48183023068435)	(60, 35.41831569438794)	(65, 35.38761675481263)	(70, 35.330127402581596)	(75, 35.281047839744645)	(80, 35.214938132814666)	(85, 35.130745484894874)	(90, 35.00305131998813)	(95, 34.91655535953971)	(100, 34.825238350013265)	(105, 34.721547702963605)	(110, 34.57216968810364)	(115, 34.458560047638755)	(120, 34.31126398846515)	(125, 34.226601796787556)	(130, 34.088540679934596)	(135, 33.95878476647771)	(140, 33.78885961957528)	(145, 33.6496166068632)	(150, 31.224771325348282)
flub_2	(1, 32.688612099644125)	(2, 35.389276655983956)	(3, 35.36171133088221)	(4, 35.572973398084976)	(5, 35.49384597235603)	(6, 35.74365427341185)	(7, 35.727738345687264)	(8, 35.65251371384755)	(9, 35.79828355714595)	(10, 35.74268496490434)	(15, 35.680780952006444)	(20, 35.617252904976304)	(25, 35.60757948133147)	(30, 35.5770354495586)	(35, 35.573309608540924)	(40, 35.565207133166865)	(45, 35.53675900985038)	(50, 35.48987574726683)	(55, 35.48159866455555)	(60, 35.45206283552097)	(65, 35.43207116764981)	(70, 35.412473901108555)	(75, 35.358780714307)	(80, 35.30277393297401)	(85, 35.23187010913001)	(90, 35.21386226652386)	(95, 35.18240284278686)	(100, 35.060170378228705)	(105, 34.954719102607726)	(110, 34.875977299365644)	(115, 34.753010371881)	(120, 34.66083316106719)	(125, 34.54515997891927)	(130, 34.48023478780084)	(135, 34.335735169663835)	(140, 34.20763737669735)	(145, 34.12353591997126)	(150, 31.57877994465659)
measle_1	(1, 33.085067335473816)	(2, 34.50120729159269)	(3, 35.14570663935621)	(4, 35.48279516036794)	(5, 35.310526237100106)	(6, 35.45693370361926)	(7, 35.58041010536703)	(8, 35.470802605955726)	(9, 35.55839665696099)	(10, 35.472527575212766)	(15, 35.37999484191208)	(20, 35.30255549616694)	(25, 35.15282779088065)	(30, 35.055479347090724)	(35, 34.974624823858775)	(40, 34.907878418634894)	(45, 34.81617172695026)	(50, 34.78005015005358)	(55, 34.692343504533774)	(60, 34.66348480118192)	(65, 34.62471965367248)	(70, 34.543935363882746)	(75, 34.46996151574716)	(80, 34.396996206210154)	(85, 34.3349977471639)	(90, 34.22577506164398)	(95, 34.09161954316077)	(100, 33.97875473274176)	(105, 33.88180160934432)	(110, 33.715249905493174)	(115, 33.63887853670299)	(120, 33.49688501019079)	(125, 33.345308985709806)	(130, 33.15593090728443)	(135, 33.04910490933649)	(140, 32.90736606418032)	(145, 32.71187860330758)	(150, 29.479067687530982)
measle_2	(1, 32.30419696629585)	(2, 34.53608548802197)	(3, 34.815811316617854)	(4, 35.0382214704956)	(5, 34.91001031883997)	(6, 35.24039242913845)	(7, 35.338625001522594)	(8, 35.20039604856293)	(9, 35.47955982230018)	(10, 35.294970566074504)	(15, 35.1874392049795)	(20, 35.14229454110744)	(25, 35.063512895069756)	(30, 35.01463987596511)	(35, 35.18010099421137)	(40, 35.20092296691164)	(45, 35.16058483835194)	(50, 35.13743143041616)	(55, 35.07785107168787)	(60, 35.068209755987496)	(65, 35.023331366217434)	(70, 34.96735896903086)	(75, 34.92004457413107)	(80, 34.86615947885854)	(85, 34.81366652722457)	(90, 34.777649663726464)	(95, 34.69037052386314)	(100, 34.57338319009436)	(105, 34.52649217402668)	(110, 34.412627885501614)	(115, 34.36416020982559)	(120, 34.25963273296224)	(125, 34.05169578892511)	(130, 33.98435957949643)	(135, 33.868355973582155)	(140, 33.79721126983663)	(145, 33.62519906388585)	(150, 30.652074415669446)
sample1_1	(1, 33.74797803938908)	(2, 35.210597100167654)	(3, 35.77109471434625)	(4, 36.089300189760316)	(5, 35.986046629451536)	(6, 35.916247535879435)	(7, 35.92228578271523)	(8, 35.92714493634739)	(9, 36.11795768160799)	(10, 36.017226735938394)	(15, 35.96777206654508)	(20, 35.96387276847399)	(25, 35.902690727537355)	(30, 35.86526879640377)	(35, 35.83798983032112)	(40, 35.80371414359145)	(45, 35.765386245140846)	(50, 35.71382118314634)	(55, 35.69135300945117)	(60, 35.66990917297666)	(65, 35.65913520882846)	(70, 35.62834982221485)	(75, 35.5963111884891)	(80, 35.564715635881285)	(85, 35.54248282024356)	(90, 35.52198870649791)	(95, 35.488008253652424)	(100, 35.46264991985851)	(105, 35.4192252068019)	(110, 35.38052009064279)	(115, 35.3460348385195)	(120, 35.31766613239006)	(125, 35.27374352880488)	(130, 35.254536284751005)	(135, 35.23530739328285)	(140, 35.21328690653844)	(145, 34.90146833950515)	
sample1_2	(1, 32.72791503159601)	(2, 35.75386199082518)	(3, 35.88378562611692)	(4, 36.03539582527313)	(5, 35.90189806370788)	(6, 36.10835682308075)	(7, 36.117460251662706)	(8, 36.07856629635771)	(9, 36.19970430553253)	(10, 36.11109775419591)	(15, 36.05846183606919)	(20, 36.028700786676254)	(25, 35.982264780117546)	(30, 35.91907735956816)	(35, 35.882066729306)	(40, 35.84939709648299)	(45, 35.810706258405645)	(50, 35.78834171594907)	(55, 35.748673520145914)	(60, 35.73014103060115)	(65, 35.70743105068258)	(70, 35.67719145525894)	(75, 35.61797748668914)	(80, 35.58780467584149)	(85, 35.52887580832366)	(90, 35.50790084563091)	(95, 35.48011477735404)	(100, 35.44123602129737)	(105, 35.39831150168574)	(110, 35.35215875384587)	(115, 35.28582923414212)	(120, 35.18140256821239)	(125, 35.13522955470808)	(130, 35.10945255071022)	(135, 35.073006134969326)	(140, 34.9310672635826)	(145, 34.286511818567035)	
sample2_1	(1, 32.377124441057376)	(2, 33.943889965200945)	(3, 34.64347035652964)	(4, 35.136460045358135)	(5, 35.062362846728064)	(6, 34.904215368511906)	(7, 34.96078449376096)	(8, 34.9014149167669)	(9, 35.113147432307116)	(10, 35.0990643736629)	(15, 35.09006987356649)	(20, 35.077050068404475)	(25, 34.93358063005574)	(30, 34.844553809991645)	(35, 34.79181533545739)	(40, 34.749935268246546)	(45, 34.715130703051116)	(50, 34.6792994229661)	(55, 34.637010929066285)	(60, 34.60204318902648)	(65, 34.56161120178588)	(70, 34.49880024952155)	(75, 34.4559512279107)	(80, 34.386934186532265)	(85, 34.33589161667446)	(90, 34.269357148705296)	(95, 34.215434309385024)	(100, 34.160623252735135)	(105, 34.07728128068926)	(110, 33.981672987344574)	(115, 33.88753335789643)	(120, 33.786948097675136)	(125, 33.72186374594189)	(130, 33.641518712864226)	(135, 33.55301006943584)	(140, 33.40185741031166)	(145, 32.727460165434174)	
sample2_2	(1, 32.132925048893135)	(2, 34.1998145274582)	(3, 34.26148873851126)	(4, 34.53771428046754)	(5, 34.47522288841348)	(6, 34.82592208316883)	(7, 34.824296902975824)	(8, 34.775128315780776)	(9, 34.94399096509994)	(10, 34.87805639467088)	(15, 34.795526622655196)	(20, 34.720593879406124)	(25, 34.660713793831654)	(30, 34.63300309426963)	(35, 34.584335833845984)	(40, 34.550950776321955)	(45, 34.5026103882987)	(50, 34.46106080923981)	(55, 34.4054752802502)	(60, 34.338731916377455)	(65, 34.28594824078755)	(70, 34.231542687247995)	(75, 34.17580153943727)	(80, 34.09451990721239)	(85, 34.039142472665674)	(90, 33.941204512630456)	(95, 33.811279889813164)	(100, 33.77188827978308)	(105, 33.648572502049035)	(110, 33.456196481808696)	(115, 33.25506166219335)	(120, 33.07760577824835)	(125, 32.87250082556916)	(130, 32.72062016049246)	(135, 32.55378986853735)	(140, 32.394577733287555)	(145, 31.385327144693484)	
