Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
flua_1	(1.0, 33.65173807162758)	(2.0, 5.2024096222991245)	(3.0, 3.3918199664056017)	(4.0, 2.649775025465633)	(5.0, 2.216016028170724)	(6.0, 2.060186590573331)	(7.0, 2.030504792935732)	(8.0, 1.732337643939854)	(9.0, 1.5603181349037702)	('>10', 28.18691437475968)	('>50', 8.563198618447238)	('>100', 8.754781130471738)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
flua_2	(1.0, 35.6674019657445)	(2.0, 5.283359979492576)	(3.0, 3.3513447878088765)	(4.0, 2.6713617873838866)	(5.0, 2.1350656709772733)	(6.0, 2.1087568048894014)	(7.0, 1.6905132927232374)	(8.0, 1.7269409534602902)	(9.0, 1.572460688482788)	('>10', 26.92746173409157)	('>50', 8.433678046937715)	('>100', 8.431654288007879)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
flub_1	(1.0, 13.279329938459725)	(2.0, 4.565384086038418)	(3.0, 3.966693537287903)	(4.0, 3.684552014313521)	(5.0, 3.627533866813472)	(6.0, 3.3208155561235526)	(7.0, 3.206779261123454)	(8.0, 3.271661980692476)	(9.0, 2.9728082420715283)	('>10', 45.97628831521205)	('>50', 9.858241088456774)	('>100', 2.269912113407129)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
flub_2	(1.0, 14.399048386779652)	(2.0, 4.642063663710898)	(3.0, 4.005033326124143)	(4.0, 3.668822870175577)	(5.0, 3.617703151727256)	(6.0, 3.33851084327874)	(7.0, 3.234305263364857)	(8.0, 3.1222351113820017)	(9.0, 2.6719883604333377)	('>10', 45.44739584357366)	('>50', 9.662609858241089)	('>100', 2.190283321208785)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
measle_1	(1.0, 20.878563620730915)	(2.0, 6.578975785078995)	(3.0, 4.470711894525599)	(4.0, 3.562526389819841)	(5.0, 3.0494162185383136)	(6.0, 2.542718567989182)	(7.0, 2.1686278117134012)	(8.0, 2.00496284599193)	(9.0, 1.7077796584658003)	('>10', 29.05605129503101)	('>50', 10.759791800518697)	('>100', 12.36655589660298)	('>500', 0.8533182149933326)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
measle_2	(1.0, 21.678055242347675)	(2.0, 6.513123675189824)	(3.0, 4.403597220730537)	(4.0, 3.5107286021054342)	(5.0, 2.86613221126683)	(6.0, 2.497508840210605)	(7.0, 2.125843566952435)	(8.0, 1.868784638576031)	(9.0, 1.7537918336941005)	('>10', 28.42926790766192)	('>50', 10.41725161738271)	('>100', 12.2735237370721)	('>500', 0.8800169907061055)	('>1k', 0.7823739161037118)	('>5k', 0.0)	('>10k+', 0.0)
sample1_1	(1.0, 63.80015068949879)	(2.0, 20.563506857370353)	(3.0, 8.186057838700131)	(4.0, 3.619415099836791)	(5.0, 1.6329632613531198)	(6.0, 0.8194292916688986)	(7.0, 0.41229455492822503)	(8.0, 0.24425658339526415)	(9.0, 0.18643791326184103)	('>10', 0.521649322325025)	('>50', 0.013838587661566796)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample1_2	(1.0, 62.86158212024253)	(2.0, 20.81157116790654)	(3.0, 8.390548814665351)	(4.0, 3.780989048403279)	(5.0, 1.7492896150855073)	(6.0, 0.8291290787239978)	(7.0, 0.4746193759102075)	(8.0, 0.25397310719466676)	(9.0, 0.15468100111187807)	('>10', 0.4982874935458228)	('>50', 0.015663188738555257)	('>100', 0.0)	('>500', 0.17966598847166323)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample2_1	(1.0, 89.4509868965681)	(2.0, 9.01904541805827)	(3.0, 1.2154815990685646)	(4.0, 0.25309991330257764)	(5.0, 0.04722013307883911)	(6.0, 0.0)	(7.0, 0.006610818631037476)	(8.0, 0.007555221292614259)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample2_2	(1.0, 89.59438171504137)	(2.0, 8.835391243544619)	(3.0, 1.1961022624957547)	(4.0, 0.20406806122814772)	(5.0, 0.04251417942253078)	(6.0, 0.01700567176901231)	(7.0, 0.013226633598120686)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.09731023290045933)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
