Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
flua	8.913350000000001	92.93400000000001	39.578340999999995	0.29647799999999996	43.9917	97.290751934474	0.29796478240038854						
flua_1								58.89340861716552	43.0	143.7269139700079	151	18.181818181818183	0.14823899999999998
flua_2								56.969488461201166	44.0	143.67692712444094	151	18.181818181818183	0.14823899999999998
flub	9.83613	92.13170000000001	25.747004	0.20344399999999999	40.7831	95.80146920323979	0.49915238274627993						
flub_1								77.13080749493719	40.0	137.46495350071766	151	18.181818181818183	0.10172199999999999
flub_2								76.05336112148798	40.0	137.35610782328305	151	18.181818181818183	0.10172199999999999
measle	12.3483	90.6512	133.372326	1.070164	65.29209999999999	93.11004268484731	0.5970310278643481						
measle_1								69.96411992039121	65.0	137.79983254902987	151	18.181818181818183	0.535082
measle_2								69.3312629586467	65.0	135.09020545454229	151	27.27272727272727	0.574677
sample1	0.512629	94.68029999999999	120.011871	0.85749	38.5329	98.73638976399712	3.9184122773079832						
sample1_1								21.672836803648778	38.0	149.0	149	9.090909090909092	0.434232
sample1_2								22.349584548768505	38.0	149.0	149	9.090909090909092	0.434232
sample2	0.044055199999999996	88.0143	27.893642	0.217822	38.4044	95.96190106966007	9.355120094454332						
sample2_1								5.559722051115358	38.0	145.04034945965054	148	9.090909090909092	0.108911
sample2_2								5.524033500573196	38.0	145.04572999972456	148	9.090909090909092	0.108911
