task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	7d/d99bac	268247	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:HTML_COPYDIR (1)	COMPLETED	0	2025-06-03 09:43:30.237	279ms	116ms	23.5%	3.2 MB	12.6 MB	4.4 MB	4.3 MB
2	b3/8b3939	268585	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:stats_input (sample1)	COMPLETED	0	2025-06-03 09:43:30.532	4s	4s	23.6%	26.9 MB	1.2 GB	581.8 MB	290.9 MB
7	7d/6c8181	268334	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:stats_input (measle)	COMPLETED	0	2025-06-03 09:43:30.316	4.9s	5s	21.3%	28.8 MB	1.2 GB	713.6 MB	356.8 MB
11	9a/f25ac5	268281	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:fastqc_input (sample2)	COMPLETED	0	2025-06-03 09:43:30.265	5.3s	5s	171.3%	689.9 MB	5.1 GB	31.2 MB	3.8 MB
9	a0/5fa464	270576	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:stats_input (flua)	COMPLETED	0	2025-06-03 09:43:34.543	2.3s	2s	95.1%	26.3 MB	1.2 GB	197.9 MB	98.9 MB
10	46/c65756	271179	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:stats_input (flub)	COMPLETED	0	2025-06-03 09:43:35.264	1.7s	1s	94.0%	27.6 MB	1.2 GB	132.6 MB	66.3 MB
5	53/26de3c	272347	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:stats_input (sample2)	COMPLETED	0	2025-06-03 09:43:36.892	1.1s	0ms	57.0%	19.3 MB	1.2 GB	152.6 MB	76.2 MB
14	05/aaf06f	268310	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:fastqc_input (measle)	COMPLETED	0	2025-06-03 09:43:30.304	8.1s	8s	197.1%	1 GB	5.1 GB	113.3 MB	3.7 MB
4	b8/fffa5b	273467	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:FASTP (sample2)	COMPLETED	0	2025-06-03 09:43:38.428	2.8s	2.6s	230.2%	1.2 GB	1.7 GB	50.8 MB	19.4 MB
12	64/f0f491	272981	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:FASTP (flub)	COMPLETED	0	2025-06-03 09:43:38.007	7.2s	6.9s	121.6%	1.1 GB	1.7 GB	48.9 MB	14.4 MB
8	54/31b323	271534	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:FASTP (flua)	COMPLETED	0	2025-06-03 09:43:35.622	10.7s	10.4s	123.8%	1.2 GB	1.7 GB	67.1 MB	22 MB
15	8e/b0e9e9	276463	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:fastqc_input (flua)	COMPLETED	0	2025-06-03 09:43:45.220	5.1s	5s	216.2%	564.5 MB	5.1 GB	39.2 MB	3.7 MB
16	04/0656c3	277040	XIAOLIDONG_SEQSWEEP:SEQSWEEP:QC_ILLUMINA:fastqc_input (flub)	COMPLETED	0	2025-06-03 09:43:46.337	4s	4s	215.3%	476.9 MB	5 GB	30.1 MB	3.8 MB
