#Number of Samples: 5
#Total Number of Reads: 1275830
#S1	flua.kraken2_kreport.txt
#S2	sample2.kraken2_kreport.txt
#S3	measle.kraken2_kreport.txt
#S4	flub.kraken2_kreport.txt
#S5	sample1.kraken2_kreport.txt
#perc	tot_all	tot_lvl	1_all	1_lvl	2_all	2_lvl	3_all	3_lvl	4_all	4_lvl	5_all	5_lvl	lvl_type	taxid	name
20.4281	260628	260628	13491	13491	1198	1198	175331	175331	69334	69334	1274	1274	U	0	unclassified
79.5719	1015202	2619	89342	26	107711	821	359723	1	30955	5	427471	1766	R	1	root
70.1067	894442	236	1895	199	106882	2	359721	31	239	0	425705	4	R1	131567	  cellular organisms
70.0081	893184	4490	783	1	106877	138	359650	2718	178	0	425696	1633	R2	2	    Bacteria
42.0358	536305	101	29	0	106724	2	5343	2	177	0	424032	97	K	1783272	      Bacillati
41.6151	530938	141	29	0	106718	118	258	0	1	0	423932	23	P	1239	        Bacillota
41.6003	530749	373	1	0	106597	22	245	0	1	0	423905	351	C	91061	          Bacilli
41.5490	530094	277	0	0	106567	162	0	0	0	0	423527	115	O	186826	            Lactobacillales
41.5261	529802	19	0	0	106403	7	0	0	0	0	423399	12	F	1300	              Streptococcaceae
41.5241	529777	95637	0	0	106392	23182	0	0	0	0	423385	72455	G	1301	                Streptococcus
27.4048	349639	349362	0	0	3	3	0	0	0	0	349636	349359	S	1314	                  Streptococcus pyogenes
0.0079	101	101	0	0	0	0	0	0	0	0	101	101	S1	1150773	                    Streptococcus pyogenes JRS4
0.0063	81	0	0	0	0	0	0	0	0	0	81	0	S1	342023	                    Streptococcus pyogenes serotype M12
0.0038	48	48	0	0	0	0	0	0	0	0	48	48	S2	370551	                      Streptococcus pyogenes MGAS9429
0.0026	33	33	0	0	0	0	0	0	0	0	33	33	S2	1048264	                      Streptococcus pyogenes HKU QMH11M0907901
0.0059	75	0	0	0	0	0	0	0	0	0	75	0	S1	301447	                    Streptococcus pyogenes serotype M1
0.0054	69	69	0	0	0	0	0	0	0	0	69	69	S2	160490	                      Streptococcus pyogenes M1 GAS
0.0003	4	4	0	0	0	0	0	0	0	0	4	4	S2	1207470	                      Streptococcus pyogenes M1 476
0.0002	2	2	0	0	0	0	0	0	0	0	2	2	S2	293653	                      Streptococcus pyogenes MGAS5005
0.0004	5	0	0	0	0	0	0	0	0	0	5	0	S1	798299	                    Streptococcus pyogenes serotype M59
0.0004	5	5	0	0	0	0	0	0	0	0	5	5	S2	798300	                      Streptococcus pyogenes MGAS15252
0.0002	3	3	0	0	0	0	0	0	0	0	3	3	S1	1437007	                    Streptococcus pyogenes STAB902
0.0002	2	2	0	0	0	0	0	0	0	0	2	2	S1	1336746	                    Streptococcus pyogenes HSC5
0.0002	2	0	0	0	0	0	0	0	0	0	2	0	S1	487975	                    Streptococcus pyogenes serotype M53
0.0002	2	2	0	0	0	0	0	0	0	0	2	2	S2	487215	                      Streptococcus pyogenes Alab49
0.0002	2	0	0	0	0	0	0	0	0	0	2	0	S1	301451	                    Streptococcus pyogenes serotype M18
0.0002	2	2	0	0	0	0	0	0	0	0	2	2	S2	186103	                      Streptococcus pyogenes MGAS8232
0.0002	2	0	0	0	0	0	0	0	0	0	2	0	S1	301449	                    Streptococcus pyogenes serotype M5
0.0002	2	2	0	0	0	0	0	0	0	0	2	2	S2	160491	                      Streptococcus pyogenes str. Manfredo
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S1	1437008	                    Streptococcus pyogenes STAB1102
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	S1	319700	                    Streptococcus pyogenes serotype M28
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S2	319701	                      Streptococcus pyogenes MGAS6180
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	S1	301450	                    Streptococcus pyogenes serotype M6
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S2	286636	                      Streptococcus pyogenes MGAS10394
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	S1	301448	                    Streptococcus pyogenes serotype M3
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S2	193567	                      Streptococcus pyogenes SSI-1
6.4496	82286	82199	0	0	82281	82196	0	0	0	0	5	3	S	1313	                  Streptococcus pneumoniae
0.0024	30	30	0	0	30	30	0	0	0	0	0	0	S1	869304	                    Streptococcus pneumoniae SPN034183
0.0009	12	12	0	0	11	11	0	0	0	0	1	1	S1	487214	                    Streptococcus pneumoniae Hungary19A-6
0.0009	11	11	0	0	11	11	0	0	0	0	0	0	S1	516950	                    Streptococcus pneumoniae CGSP14
0.0008	10	10	0	0	10	10	0	0	0	0	0	0	S1	697283	                    Streptococcus pneumoniae gamPNI0373
0.0002	3	3	0	0	3	3	0	0	0	0	0	0	S1	869216	                    Streptococcus pneumoniae INV200
0.0002	3	3	0	0	3	3	0	0	0	0	0	0	S1	189423	                    Streptococcus pneumoniae 670-6B
0.0002	3	3	0	0	3	3	0	0	0	0	0	0	S1	1159083	                    Streptococcus pneumoniae PCS8235
0.0002	2	2	0	0	2	2	0	0	0	0	0	0	S1	488223	                    Streptococcus pneumoniae P1031
0.0002	2	2	0	0	2	2	0	0	0	0	0	0	S1	869311	                    Streptococcus pneumoniae SPN032672
0.0002	2	2	0	0	2	2	0	0	0	0	0	0	S1	488221	                    Streptococcus pneumoniae 70585
0.0002	2	2	0	0	2	2	0	0	0	0	0	0	S1	373153	                    Streptococcus pneumoniae D39
