#Classification	sample1_count	flub_count	flua_count	measle_count	sample2_count	sample1_perc	flub_perc	flua_perc	measle_perc	sample2_perc
x__cellular_organisms	425705	239	1895	359721	106882	99.29	0.24	1.84	67.23	98.14
x__cellular_organisms|x__Archaea	0	0	0	10	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati	0	0	0	10	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota	0	0	0	10	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group	0	0	0	10	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria	0	0	0	10	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales	0	0	0	10	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae	0	0	0	1	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus	0	0	0	1	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	0	0	0	1	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula	0	0	0	1	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Natrialbaceae	0	0	0	3	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Natrialbaceae|g__Natrarchaeobaculum	0	0	0	2	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Natrialbaceae|g__Natrarchaeobaculum|s__Natrarchaeobaculum_sulfurireducens	0	0	0	2	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae	0	0	0	5	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae|g__Halorarum	0	0	0	2	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae|g__Halorarum|s__Halorarum_halophilum	0	0	0	2	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae|g__Haloplanus	0	0	0	3	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae|g__Haloplanus|x__unclassified_Haloplanus	0	0	0	1	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae|g__Haloplanus|x__unclassified_Haloplanus|s__Haloplanus_sp._GDY1	0	0	0	1	0	0	0	0	0.0	0
x__cellular_organisms|x__Archaea|k__Methanobacteriati|p__Methanobacteriota|x__Stenosarchaea_group|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_rubicundus	0	0	0	2	0	0	0	0	0.0	0
x__cellular_organisms|x__Eukaryota	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates	5	61	913	30	3	0.0	0.06	0.89	0.01	0.0
