#Classification	sample1_count	sample1_perc
x__cellular_organisms	425705	99.29
x__cellular_organisms|x__Bacteria	425696	99.29
x__cellular_organisms|x__Bacteria|k__Bacillati	424032	98.9
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota	423932	98.88
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli	423905	98.87
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales	423527	98.78
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	423399	98.75
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	423385	98.75
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes	349636	81.55
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_JRS4	101	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M12	81	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M12|x__Streptococcus_pyogenes_MGAS9429	48	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M12|x__Streptococcus_pyogenes_HKU_QMH11M0907901	33	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M1	75	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M1|x__Streptococcus_pyogenes_M1_GAS	69	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M1|x__Streptococcus_pyogenes_M1_476	4	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M1|x__Streptococcus_pyogenes_MGAS5005	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M59	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M59|x__Streptococcus_pyogenes_MGAS15252	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_STAB902	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M5	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M5|x__Streptococcus_pyogenes_str._Manfredo	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M18	2	0.0
