#Classification	flua_perc
x__Viruses	85.01
x__Viruses|x__Riboviria	85.01
x__Viruses|x__Riboviria|k__Orthornavirae	85.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota	85.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina	85.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes	85.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales	85.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae	85.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus	85.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae	85.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus	85.01
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H3N2_subtype	71.21
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H3N2_subtype|x__Influenza_A_virus_(A/New_York/392/2004(H3N2))	71.21
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H2N2_subtype	1.45
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H2N2_subtype|x__Influenza_A_virus_(A/Korea/426/1968(H2N2))	1.45
x__Viruses|x__Riboviria|k__Orthornavirae|p__Negarnaviricota|x__Polyploviricotina|c__Insthoviricetes|o__Articulavirales|f__Orthomyxoviridae|g__Alphainfluenzavirus|s__Alphainfluenzavirus_influenzae|x__Influenza_A_virus|x__H1N1_subtype	1.26
