Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
flua_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 2.0)	(13.0, 3.0)	(14.0, 3.5)	(15.0, 5.5)	(16.0, 5.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 12.0)	(20.0, 14.5)	(21.0, 19.5)	(22.0, 37.5)	(23.0, 51.5)	(24.0, 77.5)	(25.0, 112.5)	(26.0, 174.0)	(27.0, 239.5)	(28.0, 272.5)	(29.0, 317.0)	(30.0, 405.5)	(31.0, 550.0)	(32.0, 708.5)	(33.0, 971.5)	(34.0, 1473.0)	(35.0, 1934.0)	(36.0, 2450.0)	(37.0, 3297.5)	(38.0, 4423.0)	(39.0, 5983.0)	(40.0, 7822.0)	(41.0, 10125.5)	(42.0, 12259.5)	(43.0, 12462.0)	(44.0, 11540.5)	(45.0, 11238.5)	(46.0, 10801.0)	(47.0, 9534.0)	(48.0, 7588.0)	(49.0, 5978.5)	(50.0, 5599.0)	(51.0, 4810.5)	(52.0, 3570.0)	(53.0, 2808.5)	(54.0, 2309.5)	(55.0, 2076.5)	(56.0, 2056.5)	(57.0, 1528.5)	(58.0, 759.0)	(59.0, 526.5)	(60.0, 518.5)	(61.0, 513.0)	(62.0, 353.0)	(63.0, 220.0)	(64.0, 151.0)	(65.0, 103.0)	(66.0, 76.0)	(67.0, 58.0)	(68.0, 45.5)	(69.0, 27.5)	(70.0, 21.0)	(71.0, 26.0)	(72.0, 27.5)	(73.0, 19.0)	(74.0, 8.5)	(75.0, 6.5)	(76.0, 4.5)	(77.0, 1.5)	(78.0, 0.5)	(79.0, 1.0)	(80.0, 1.5)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.5)	(84.0, 0.5)	(85.0, 0.0)	(86.0, 0.5)	(87.0, 0.5)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
flua_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.5)	(12.0, 1.0)	(13.0, 0.5)	(14.0, 3.0)	(15.0, 5.0)	(16.0, 4.0)	(17.0, 7.0)	(18.0, 10.5)	(19.0, 9.5)	(20.0, 15.0)	(21.0, 21.0)	(22.0, 33.0)	(23.0, 48.5)	(24.0, 76.0)	(25.0, 109.5)	(26.0, 167.0)	(27.0, 234.5)	(28.0, 277.0)	(29.0, 315.0)	(30.0, 385.0)	(31.0, 510.5)	(32.0, 690.5)	(33.0, 941.0)	(34.0, 1395.5)	(35.0, 1824.0)	(36.0, 2382.5)	(37.0, 3363.0)	(38.0, 4442.5)	(39.0, 5936.0)	(40.0, 7875.0)	(41.0, 10036.0)	(42.0, 11983.5)	(43.0, 12185.0)	(44.0, 11556.5)	(45.0, 11477.0)	(46.0, 10803.0)	(47.0, 9502.0)	(48.0, 7706.5)	(49.0, 6217.0)	(50.0, 5802.5)	(51.0, 4837.5)	(52.0, 3555.5)	(53.0, 2796.5)	(54.0, 2314.0)	(55.0, 2069.0)	(56.0, 2002.0)	(57.0, 1516.5)	(58.0, 791.5)	(59.0, 546.0)	(60.0, 526.5)	(61.0, 524.5)	(62.0, 380.0)	(63.0, 236.5)	(64.0, 153.0)	(65.0, 103.0)	(66.0, 76.5)	(67.0, 70.5)	(68.0, 49.5)	(69.0, 27.0)	(70.0, 23.0)	(71.0, 28.0)	(72.0, 25.5)	(73.0, 14.0)	(74.0, 9.0)	(75.0, 7.0)	(76.0, 5.0)	(77.0, 2.5)	(78.0, 1.0)	(79.0, 1.0)	(80.0, 2.0)	(81.0, 1.0)	(82.0, 1.0)	(83.0, 1.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 54.0)
flub_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 0.5)	(17.0, 0.5)	(18.0, 1.5)	(19.0, 4.0)	(20.0, 9.0)	(21.0, 16.5)	(22.0, 25.5)	(23.0, 33.0)	(24.0, 48.5)	(25.0, 89.5)	(26.0, 264.5)	(27.0, 507.5)	(28.0, 578.0)	(29.0, 488.0)	(30.0, 522.5)	(31.0, 932.0)	(32.0, 1887.5)	(33.0, 2973.0)	(34.0, 3480.0)	(35.0, 3817.5)	(36.0, 4432.0)	(37.0, 5595.5)	(38.0, 6860.5)	(39.0, 7826.0)	(40.0, 8040.5)	(41.0, 7932.0)	(42.0, 7788.0)	(43.0, 7072.0)	(44.0, 6217.0)	(45.0, 5408.0)	(46.0, 5238.5)	(47.0, 4588.0)	(48.0, 3456.5)	(49.0, 2653.0)	(50.0, 1972.0)	(51.0, 1460.0)	(52.0, 1044.5)	(53.0, 802.0)	(54.0, 560.0)	(55.0, 333.0)	(56.0, 209.5)	(57.0, 189.0)	(58.0, 199.0)	(59.0, 156.0)	(60.0, 56.0)	(61.0, 21.5)	(62.0, 12.5)	(63.0, 13.5)	(64.0, 10.0)	(65.0, 7.0)	(66.0, 5.5)	(67.0, 3.5)	(68.0, 4.5)	(69.0, 2.5)	(70.0, 1.5)	(71.0, 2.5)	(72.0, 2.5)	(73.0, 1.0)	(74.0, 1.5)	(75.0, 2.5)	(76.0, 1.0)	(77.0, 0.5)	(78.0, 1.0)	(79.0, 1.0)	(80.0, 1.0)	(81.0, 1.0)	(82.0, 1.0)	(83.0, 0.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
flub_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.5)	(17.0, 2.5)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 9.0)	(21.0, 14.0)	(22.0, 23.0)	(23.0, 33.5)	(24.0, 47.5)	(25.0, 86.5)	(26.0, 253.5)	(27.0, 483.0)	(28.0, 569.0)	(29.0, 505.5)	(30.0, 537.5)	(31.0, 889.0)	(32.0, 1802.0)	(33.0, 2967.5)	(34.0, 3526.5)	(35.0, 3787.5)	(36.0, 4517.0)	(37.0, 5689.5)	(38.0, 6731.5)	(39.0, 7827.5)	(40.0, 8202.5)	(41.0, 7933.5)	(42.0, 7839.5)	(43.0, 7204.0)	(44.0, 6156.0)	(45.0, 5402.5)	(46.0, 5262.5)	(47.0, 4510.0)	(48.0, 3394.5)	(49.0, 2626.5)	(50.0, 1909.0)	(51.0, 1419.5)	(52.0, 1076.0)	(53.0, 790.0)	(54.0, 539.0)	(55.0, 314.0)	(56.0, 201.5)	(57.0, 202.5)	(58.0, 200.5)	(59.0, 138.5)	(60.0, 42.0)	(61.0, 18.0)	(62.0, 11.5)	(63.0, 8.5)	(64.0, 9.0)	(65.0, 10.0)	(66.0, 7.0)	(67.0, 6.0)	(68.0, 7.0)	(69.0, 7.0)	(70.0, 5.0)	(71.0, 2.0)	(72.0, 2.0)	(73.0, 2.0)	(74.0, 1.5)	(75.0, 1.5)	(76.0, 1.0)	(77.0, 1.0)	(78.0, 1.0)	(79.0, 0.5)	(80.0, 1.0)	(81.0, 1.0)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.5)	(88.0, 0.5)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 44.5)
measle_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 0.5)	(21.0, 0.5)	(22.0, 0.5)	(23.0, 0.5)	(24.0, 0.5)	(25.0, 1.0)	(26.0, 1.0)	(27.0, 0.5)	(28.0, 0.5)	(29.0, 1.0)	(30.0, 2.5)	(31.0, 3.5)	(32.0, 4.0)	(33.0, 5.0)	(34.0, 5.5)	(35.0, 7.5)	(36.0, 14.0)	(37.0, 19.0)	(38.0, 24.0)	(39.0, 34.5)	(40.0, 44.5)	(41.0, 93.0)	(42.0, 144.5)	(43.0, 219.0)	(44.0, 387.5)	(45.0, 734.5)	(46.0, 1217.0)	(47.0, 1819.0)	(48.0, 2001.0)	(49.0, 2334.0)	(50.0, 3173.0)	(51.0, 3612.5)	(52.0, 3922.5)	(53.0, 5530.0)	(54.0, 6654.5)	(55.0, 7702.5)	(56.0, 10730.5)	(57.0, 12430.0)	(58.0, 14290.0)	(59.0, 17608.0)	(60.0, 19695.0)	(61.0, 22311.0)	(62.0, 25403.0)	(63.0, 28748.5)	(64.0, 32690.0)	(65.0, 35672.0)	(66.0, 38398.0)	(67.0, 37964.5)	(68.0, 35345.0)	(69.0, 33078.0)	(70.0, 31227.0)	(71.0, 28448.5)	(72.0, 22761.0)	(73.0, 17914.5)	(74.0, 15260.0)	(75.0, 12323.0)	(76.0, 8719.0)	(77.0, 6435.0)	(78.0, 4631.0)	(79.0, 2610.5)	(80.0, 1446.0)	(81.0, 829.0)	(82.0, 466.0)	(83.0, 269.5)	(84.0, 149.0)	(85.0, 73.0)	(86.0, 37.0)	(87.0, 20.0)	(88.0, 11.5)	(89.0, 3.5)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 1.0)	(100.0, 0.5)
measle_2	(0.0, 4455.0)	(1.0, 2227.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 1.5)	(9.0, 1.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.5)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 2.5)	(21.0, 1.5)	(22.0, 0.5)	(23.0, 1.0)	(24.0, 3.5)	(25.0, 3.5)	(26.0, 3.0)	(27.0, 3.0)	(28.0, 3.5)	(29.0, 6.0)	(30.0, 10.0)	(31.0, 14.5)	(32.0, 26.0)	(33.0, 49.0)	(34.0, 68.0)	(35.0, 70.0)	(36.0, 72.5)	(37.0, 76.5)	(38.0, 81.5)	(39.0, 101.5)	(40.0, 115.5)	(41.0, 170.0)	(42.0, 243.5)	(43.0, 328.0)	(44.0, 514.0)	(45.0, 889.0)	(46.0, 1404.5)	(47.0, 2125.0)	(48.0, 2388.0)	(49.0, 2717.0)	(50.0, 3598.5)	(51.0, 4094.0)	(52.0, 4522.5)	(53.0, 6268.5)	(54.0, 7627.5)	(55.0, 8747.0)	(56.0, 11863.5)	(57.0, 13806.0)	(58.0, 15636.5)	(59.0, 19292.5)	(60.0, 21768.5)	(61.0, 24287.0)	(62.0, 27460.5)	(63.0, 30929.5)	(64.0, 35010.5)	(65.0, 38221.5)	(66.0, 40942.5)	(67.0, 40334.5)	(68.0, 37775.5)	(69.0, 35831.0)	(70.0, 33904.5)	(71.0, 30780.0)	(72.0, 24714.0)	(73.0, 19577.0)	(74.0, 16933.5)	(75.0, 13848.5)	(76.0, 9812.0)	(77.0, 7340.5)	(78.0, 5426.5)	(79.0, 3155.5)	(80.0, 1801.5)	(81.0, 1085.0)	(82.0, 654.0)	(83.0, 364.5)	(84.0, 206.5)	(85.0, 120.0)	(86.0, 66.0)	(87.0, 42.5)	(88.0, 37.0)	(89.0, 22.0)	(90.0, 9.5)	(91.0, 12.0)	(92.0, 16.0)	(93.0, 14.0)	(94.0, 9.0)	(95.0, 6.0)	(96.0, 7.5)	(97.0, 9.5)	(98.0, 11.5)	(99.0, 20.5)	(100.0, 171.5)
sample1_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 2.0)	(7.0, 2.0)	(8.0, 3.0)	(9.0, 9.0)	(10.0, 13.5)	(11.0, 17.5)	(12.0, 27.0)	(13.0, 27.5)	(14.0, 36.0)	(15.0, 49.5)	(16.0, 82.5)	(17.0, 144.5)	(18.0, 211.5)	(19.0, 332.5)	(20.0, 480.0)	(21.0, 669.5)	(22.0, 1005.5)	(23.0, 1504.0)	(24.0, 2071.0)	(25.0, 2772.0)	(26.0, 3724.5)	(27.0, 4796.5)	(28.0, 6198.0)	(29.0, 7632.5)	(30.0, 9188.5)	(31.0, 11188.0)	(32.0, 13194.5)	(33.0, 15454.5)	(34.0, 17736.0)	(35.0, 20012.5)	(36.0, 22373.0)	(37.0, 24609.0)	(38.0, 26461.0)	(39.0, 27529.5)	(40.0, 27900.0)	(41.0, 27705.0)	(42.0, 26684.5)	(43.0, 24661.5)	(44.0, 21953.5)	(45.0, 18826.5)	(46.0, 15749.0)	(47.0, 12808.0)	(48.0, 10012.5)	(49.0, 7631.0)	(50.0, 5843.0)	(51.0, 4424.0)	(52.0, 3176.5)	(53.0, 2233.0)	(54.0, 1537.5)	(55.0, 1099.5)	(56.0, 810.5)	(57.0, 534.0)	(58.0, 326.5)	(59.0, 225.5)	(60.0, 171.0)	(61.0, 124.0)	(62.0, 96.5)	(63.0, 70.0)	(64.0, 37.0)	(65.0, 17.0)	(66.0, 6.0)	(67.0, 1.0)	(68.0, 0.0)	(69.0, 1.0)	(70.0, 1.0)	(71.0, 0.5)	(72.0, 1.0)	(73.0, 0.5)	(74.0, 0.0)	(75.0, 1.5)	(76.0, 1.5)	(77.0, 0.0)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.5)	(89.0, 0.5)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample1_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.5)	(3.0, 0.5)	(4.0, 1.5)	(5.0, 2.0)	(6.0, 1.5)	(7.0, 1.5)	(8.0, 0.5)	(9.0, 3.5)	(10.0, 11.5)	(11.0, 14.5)	(12.0, 26.0)	(13.0, 31.5)	(14.0, 39.5)	(15.0, 66.0)	(16.0, 92.5)	(17.0, 152.5)	(18.0, 236.5)	(19.0, 358.5)	(20.0, 512.0)	(21.0, 705.5)	(22.0, 1026.5)	(23.0, 1509.5)	(24.0, 2118.5)	(25.0, 2839.5)	(26.0, 3782.5)	(27.0, 4904.5)	(28.0, 6255.5)	(29.0, 7629.0)	(30.0, 9259.0)	(31.0, 11359.0)	(32.0, 13353.0)	(33.0, 15610.5)	(34.0, 17883.0)	(35.0, 19949.0)	(36.0, 22410.0)	(37.0, 24876.0)	(38.0, 26454.0)	(39.0, 27471.0)	(40.0, 28018.0)	(41.0, 27677.5)	(42.0, 26379.0)	(43.0, 24118.0)	(44.0, 21440.0)	(45.0, 18554.5)	(46.0, 15594.5)	(47.0, 12798.5)	(48.0, 9973.0)	(49.0, 7469.0)	(50.0, 5694.5)	(51.0, 4263.5)	(52.0, 3131.0)	(53.0, 2236.0)	(54.0, 1515.0)	(55.0, 1061.0)	(56.0, 812.0)	(57.0, 554.0)	(58.0, 320.5)	(59.0, 237.5)	(60.0, 171.0)	(61.0, 104.0)	(62.0, 90.0)	(63.0, 76.0)	(64.0, 38.0)	(65.0, 12.5)	(66.0, 7.5)	(67.0, 3.5)	(68.0, 4.0)	(69.0, 5.0)	(70.0, 4.5)	(71.0, 5.5)	(72.0, 6.0)	(73.0, 6.0)	(74.0, 7.0)	(75.0, 8.0)	(76.0, 6.5)	(77.0, 4.0)	(78.0, 6.5)	(79.0, 9.0)	(80.0, 8.5)	(81.0, 7.5)	(82.0, 9.5)	(83.0, 12.0)	(84.0, 11.5)	(85.0, 11.0)	(86.0, 9.5)	(87.0, 9.0)	(88.0, 9.0)	(89.0, 10.5)	(90.0, 13.0)	(91.0, 12.0)	(92.0, 10.0)	(93.0, 10.0)	(94.0, 15.5)	(95.0, 17.5)	(96.0, 25.0)	(97.0, 35.5)	(98.0, 39.5)	(99.0, 54.0)	(100.0, 282.5)
sample2_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.5)	(10.0, 2.0)	(11.0, 2.5)	(12.0, 3.0)	(13.0, 9.0)	(14.0, 13.5)	(15.0, 15.5)	(16.0, 23.5)	(17.0, 38.5)	(18.0, 87.0)	(19.0, 149.5)	(20.0, 198.5)	(21.0, 285.5)	(22.0, 453.0)	(23.0, 648.0)	(24.0, 866.5)	(25.0, 1135.0)	(26.0, 1417.5)	(27.0, 1748.0)	(28.0, 2106.0)	(29.0, 2456.5)	(30.0, 2814.5)	(31.0, 3236.0)	(32.0, 3642.0)	(33.0, 3921.5)	(34.0, 4177.0)	(35.0, 4474.5)	(36.0, 4860.0)	(37.0, 5170.5)	(38.0, 5316.5)	(39.0, 5517.0)	(40.0, 5886.5)	(41.0, 6126.5)	(42.0, 6050.5)	(43.0, 5850.0)	(44.0, 5533.0)	(45.0, 5108.0)	(46.0, 4537.0)	(47.0, 3892.0)	(48.0, 3230.0)	(49.0, 2529.5)	(50.0, 1945.0)	(51.0, 1433.5)	(52.0, 1008.5)	(53.0, 725.5)	(54.0, 493.5)	(55.0, 322.0)	(56.0, 196.5)	(57.0, 115.0)	(58.0, 82.0)	(59.0, 47.0)	(60.0, 28.0)	(61.0, 28.0)	(62.0, 22.0)	(63.0, 12.5)	(64.0, 5.5)	(65.0, 1.5)	(66.0, 1.0)	(67.0, 1.0)	(68.0, 0.5)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
sample2_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 2.5)	(11.0, 3.0)	(12.0, 2.5)	(13.0, 7.0)	(14.0, 11.0)	(15.0, 13.5)	(16.0, 21.0)	(17.0, 46.5)	(18.0, 100.0)	(19.0, 139.5)	(20.0, 199.0)	(21.0, 308.0)	(22.0, 425.0)	(23.0, 589.0)	(24.0, 854.0)	(25.0, 1135.0)	(26.0, 1376.0)	(27.0, 1720.5)	(28.0, 2079.0)	(29.0, 2425.5)	(30.0, 2856.5)	(31.0, 3215.5)	(32.0, 3592.5)	(33.0, 3964.0)	(34.0, 4259.5)	(35.0, 4552.5)	(36.0, 4828.5)	(37.0, 5061.5)	(38.0, 5327.5)	(39.0, 5547.0)	(40.0, 5874.5)	(41.0, 6153.0)	(42.0, 6110.0)	(43.0, 5879.5)	(44.0, 5471.5)	(45.0, 5080.5)	(46.0, 4486.0)	(47.0, 3834.0)	(48.0, 3263.0)	(49.0, 2588.0)	(50.0, 1964.0)	(51.0, 1481.5)	(52.0, 1049.0)	(53.0, 686.5)	(54.0, 475.0)	(55.0, 310.0)	(56.0, 200.5)	(57.0, 128.5)	(58.0, 67.0)	(59.0, 40.0)	(60.0, 29.5)	(61.0, 26.0)	(62.0, 19.5)	(63.0, 14.0)	(64.0, 8.0)	(65.0, 2.5)	(66.0, 1.0)	(67.0, 2.0)	(68.0, 1.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 1.0)	(99.0, 2.5)	(100.0, 52.5)
