Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
flua_1	(25.0, 1.0)	(26.0, 232.0)	(27.0, 725.0)	(28.0, 1296.0)	(29.0, 2210.0)	(30.0, 3216.0)	(31.0, 4480.0)	(32.0, 6398.0)	(33.0, 9448.0)	(34.0, 15154.0)	(35.0, 29931.0)	(36.0, 74118.0)	(37.0, 1030.0)																							
flua_2	(25.0, 7.0)	(26.0, 370.0)	(27.0, 979.0)	(28.0, 1637.0)	(29.0, 2287.0)	(30.0, 3213.0)	(31.0, 4394.0)	(32.0, 6053.0)	(33.0, 9003.0)	(34.0, 14598.0)	(35.0, 29069.0)	(36.0, 75779.0)	(37.0, 850.0)																							
flub_1	(25.0, 1.0)	(26.0, 227.0)	(27.0, 809.0)	(28.0, 1214.0)	(29.0, 1815.0)	(30.0, 2515.0)	(31.0, 3445.0)	(32.0, 4549.0)	(33.0, 6293.0)	(34.0, 10037.0)	(35.0, 20345.0)	(36.0, 49371.0)	(37.0, 1101.0)																							
flub_2	(25.0, 6.0)	(26.0, 409.0)	(27.0, 889.0)	(28.0, 1392.0)	(29.0, 1787.0)	(30.0, 2385.0)	(31.0, 3234.0)	(32.0, 4142.0)	(33.0, 5613.0)	(34.0, 8980.0)	(35.0, 18146.0)	(36.0, 53957.0)	(37.0, 782.0)																							
measle_1	(25.0, 23.0)	(26.0, 2399.0)	(27.0, 8282.0)	(28.0, 11746.0)	(29.0, 15886.0)	(30.0, 20612.0)	(31.0, 27150.0)	(32.0, 35739.0)	(33.0, 48881.0)	(34.0, 73857.0)	(35.0, 124766.0)	(36.0, 163838.0)	(37.0, 1903.0)																							
measle_2	(2.0, 4455.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 5.0)	(16.0, 26.0)	(17.0, 62.0)	(18.0, 116.0)	(19.0, 190.0)	(20.0, 298.0)	(21.0, 516.0)	(22.0, 778.0)	(23.0, 1177.0)	(24.0, 1678.0)	(25.0, 2499.0)	(26.0, 3708.0)	(27.0, 5194.0)	(28.0, 7369.0)	(29.0, 10354.0)	(30.0, 14155.0)	(31.0, 19071.0)	(32.0, 26229.0)	(33.0, 37858.0)	(34.0, 61859.0)	(35.0, 122788.0)	(36.0, 250609.0)	(37.0, 3683.0)
sample1_1	(17.0, 2.0)	(18.0, 2.0)	(19.0, 8.0)	(20.0, 20.0)	(21.0, 22.0)	(22.0, 68.0)	(23.0, 146.0)	(24.0, 257.0)	(25.0, 539.0)	(26.0, 1013.0)	(27.0, 1748.0)	(28.0, 2810.0)	(29.0, 4420.0)	(30.0, 6344.0)	(31.0, 9004.0)	(32.0, 13115.0)	(33.0, 20320.0)	(34.0, 35114.0)	(35.0, 76606.0)	(36.0, 257825.0)	(37.0, 4849.0)															
sample1_2	(14.0, 1.0)	(15.0, 15.0)	(16.0, 103.0)	(17.0, 94.0)	(18.0, 108.0)	(19.0, 98.0)	(20.0, 127.0)	(21.0, 162.0)	(22.0, 231.0)	(23.0, 340.0)	(24.0, 459.0)	(25.0, 741.0)	(26.0, 1226.0)	(27.0, 1931.0)	(28.0, 2909.0)	(29.0, 4275.0)	(30.0, 6027.0)	(31.0, 8505.0)	(32.0, 12593.0)	(33.0, 19379.0)	(34.0, 33352.0)	(35.0, 74963.0)	(36.0, 264575.0)	(37.0, 2018.0)												
sample2_1	(25.0, 2.0)	(26.0, 279.0)	(27.0, 1053.0)	(28.0, 1943.0)	(29.0, 3164.0)	(30.0, 4546.0)	(31.0, 6203.0)	(32.0, 8290.0)	(33.0, 11076.0)	(34.0, 16302.0)	(35.0, 25687.0)	(36.0, 30313.0)	(37.0, 53.0)																							
sample2_2	(25.0, 26.0)	(26.0, 884.0)	(27.0, 2179.0)	(28.0, 3155.0)	(29.0, 4085.0)	(30.0, 5303.0)	(31.0, 6834.0)	(32.0, 8985.0)	(33.0, 11861.0)	(34.0, 16884.0)	(35.0, 24580.0)	(36.0, 24054.0)	(37.0, 81.0)																							
