Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
flua_1	(50, 624.0)	(55, 568.0)	(60, 731.0)	(65, 669.0)	(70, 817.0)	(75, 846.0)	(80, 960.0)	(85, 1034.0)	(90, 1121.0)	(95, 1254.0)	(100, 1169.0)	(105, 1433.0)	(110, 1379.0)	(115, 1722.0)	(120, 1319.0)	(125, 1883.0)	(130, 1570.0)	(135, 2129.0)	(140, 1917.0)	(145, 13830.0)	(150, 111264.0)																													
flua_2	(50, 632.0)	(55, 569.0)	(60, 736.0)	(65, 673.0)	(70, 824.0)	(75, 852.0)	(80, 969.0)	(85, 1043.0)	(90, 1130.0)	(95, 1260.0)	(100, 1179.0)	(105, 1447.0)	(110, 1398.0)	(115, 1733.0)	(120, 1332.0)	(125, 1892.0)	(130, 1588.0)	(135, 2149.0)	(140, 1987.0)	(145, 13487.0)	(150, 111359.0)																													
flub_1	(50, 1005.0)	(55, 748.0)	(60, 1095.0)	(65, 902.0)	(70, 1245.0)	(75, 1161.0)	(80, 1330.0)	(85, 1373.0)	(90, 1326.0)	(95, 1587.0)	(100, 1399.0)	(105, 1812.0)	(110, 1486.0)	(115, 2136.0)	(120, 1690.0)	(125, 2252.0)	(130, 1962.0)	(135, 2609.0)	(140, 1812.0)	(145, 8478.0)	(150, 64314.0)																													
flub_2	(50, 1004.0)	(55, 750.0)	(60, 1101.0)	(65, 906.0)	(70, 1248.0)	(75, 1165.0)	(80, 1333.0)	(85, 1380.0)	(90, 1332.0)	(95, 1599.0)	(100, 1410.0)	(105, 1835.0)	(110, 1508.0)	(115, 2158.0)	(120, 1719.0)	(125, 2293.0)	(130, 2006.0)	(135, 2640.0)	(140, 1863.0)	(145, 8781.0)	(150, 63691.0)																													
measle_1	(50, 5086.0)	(55, 4556.0)	(60, 5884.0)	(65, 5388.0)	(70, 6678.0)	(75, 6477.0)	(80, 6914.0)	(85, 7664.0)	(90, 6999.0)	(95, 8243.0)	(100, 7156.0)	(105, 9076.0)	(110, 7544.0)	(115, 9404.0)	(120, 7788.0)	(125, 9738.0)	(130, 7726.0)	(135, 9615.0)	(140, 7669.0)	(145, 37178.0)	(150, 358299.0)																													
measle_2	(35, 7460.0)	(40, 4785.0)	(45, 3819.0)	(50, 5253.0)	(55, 4690.0)	(60, 6093.0)	(65, 5572.0)	(70, 6964.0)	(75, 6757.0)	(80, 7183.0)	(85, 7965.0)	(90, 7325.0)	(95, 8601.0)	(100, 7513.0)	(105, 9553.0)	(110, 7936.0)	(115, 9898.0)	(120, 8183.0)	(125, 10316.0)	(130, 8212.0)	(135, 10188.0)	(140, 8146.0)	(145, 39755.0)	(150, 372510.0)																										
sample1_1	(149, 434232.0)																																																	
sample1_2	(149, 434232.0)																																																	
sample2_1	(50, 69.0)	(52, 77.0)	(54, 87.0)	(56, 72.0)	(58, 79.0)	(60, 87.0)	(62, 110.0)	(64, 131.0)	(66, 120.0)	(68, 94.0)	(70, 104.0)	(72, 152.0)	(74, 156.0)	(76, 141.0)	(78, 144.0)	(80, 114.0)	(82, 174.0)	(84, 189.0)	(86, 179.0)	(88, 164.0)	(90, 168.0)	(92, 160.0)	(94, 184.0)	(96, 186.0)	(98, 178.0)	(100, 163.0)	(102, 202.0)	(104, 197.0)	(106, 223.0)	(108, 221.0)	(110, 217.0)	(112, 228.0)	(114, 238.0)	(116, 245.0)	(118, 256.0)	(120, 229.0)	(122, 250.0)	(124, 284.0)	(126, 275.0)	(128, 300.0)	(130, 269.0)	(132, 275.0)	(134, 286.0)	(136, 332.0)	(138, 342.0)	(140, 401.0)	(142, 380.0)	(144, 416.0)	(146, 345.0)	(148, 99018.0)
sample2_2	(50, 69.0)	(52, 77.0)	(54, 86.0)	(56, 72.0)	(58, 79.0)	(60, 87.0)	(62, 110.0)	(64, 131.0)	(66, 120.0)	(68, 94.0)	(70, 104.0)	(72, 152.0)	(74, 156.0)	(76, 141.0)	(78, 143.0)	(80, 114.0)	(82, 174.0)	(84, 189.0)	(86, 179.0)	(88, 164.0)	(90, 168.0)	(92, 160.0)	(94, 184.0)	(96, 186.0)	(98, 178.0)	(100, 163.0)	(102, 201.0)	(104, 196.0)	(106, 223.0)	(108, 221.0)	(110, 217.0)	(112, 228.0)	(114, 239.0)	(116, 245.0)	(118, 257.0)	(120, 228.0)	(122, 248.0)	(124, 281.0)	(126, 273.0)	(128, 300.0)	(130, 268.0)	(132, 275.0)	(134, 284.0)	(136, 330.0)	(138, 339.0)	(140, 387.0)	(142, 368.0)	(144, 437.0)	(146, 345.0)	(148, 99041.0)
