#Classification	sample1_perc
x__cellular_organisms	99.29
x__cellular_organisms|x__Bacteria	99.29
x__cellular_organisms|x__Bacteria|k__Bacillati	98.9
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota	98.88
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli	98.87
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales	98.78
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	98.75
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	98.75
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes	81.55
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_JRS4	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M12	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M12|x__Streptococcus_pyogenes_MGAS9429	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M12|x__Streptococcus_pyogenes_HKU_QMH11M0907901	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M1	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M1|x__Streptococcus_pyogenes_M1_GAS	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M1|x__Streptococcus_pyogenes_M1_476	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M1|x__Streptococcus_pyogenes_MGAS5005	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M59	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M59|x__Streptococcus_pyogenes_MGAS15252	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_STAB902	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M5|x__Streptococcus_pyogenes_str._Manfredo	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M18	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M18|x__Streptococcus_pyogenes_MGAS8232	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M53	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M53|x__Streptococcus_pyogenes_Alab49	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_HSC5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M3|x__Streptococcus_pyogenes_SSI-1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M6	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M6|x__Streptococcus_pyogenes_MGAS10394	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M28	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_serotype_M28|x__Streptococcus_pyogenes_MGAS6180	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes|x__Streptococcus_pyogenes_STAB1102	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group	0.16
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_dysgalactiae	0.16
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_dysgalactiae|x__Streptococcus_dysgalactiae_subsp._equisimilis	0.04
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_dysgalactiae|x__Streptococcus_dysgalactiae_subsp._equisimilis|x__Streptococcus_dysgalactiae_subsp._equisimilis_GGS_124	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_dysgalactiae|x__Streptococcus_dysgalactiae_subsp._equisimilis|x__Streptococcus_dysgalactiae_subsp._equisimilis_RE378	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_dysgalactiae|x__Streptococcus_dysgalactiae_subsp._dysgalactiae	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_equi	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_equi|x__Streptococcus_equi_subsp._zooepidemicus	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_equi|x__Streptococcus_equi_subsp._equi	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_canis	0.05
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae	0.03
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae|x__Streptococcus_agalactiae_ILRI005	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_iniae	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_didelphis	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._FSL_W8-0197	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._FDAARGOS_520	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._ZY19097	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._ZJ_1593	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._HSISS3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._ZY1909104	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._A12	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis|x__Streptococcus_oralis_subsp._tigurinus	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis|x__Streptococcus_oralis_subsp._dentisani	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_suis	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pluranimalium	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudoporcinus	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_Hungary19A-6	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_TCH8431/19A	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_ilei	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_halichoeri	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_marmotae	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_uberis	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_mitis_group	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_mitis_group|s__Streptococcus_mitis	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_mitis_group|s__Streptococcus_toyakuensis	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_ferus	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_acidominimus	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_equinus	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_porcinus	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_anginosus_group	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_anginosus_group|s__Streptococcus_anginosus	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_anginosus_group|s__Streptococcus_constellatus	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasuis	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_halotolerans	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_himalayensis	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_iners	0.0
